업체명,"노선
번호",유형,기점,종점,"인가
대수","운행
대수","예비
대수","예비
투입","정상
대수","단축
대수","인가
거리","운행
시간",정규,단축,"총운행
횟수",최소,최대,"첫차
시간","막차
시간"
오케이버스,6650,지선,신도림역,당산역,5,5,0,0,4,1,10,50,20,11,91,9,15,0600,2350
오케이버스,6651,지선,대방천사거리,신도림역,4,4,0,0,3,1,6,36,30,14,104,8,18,0540,2345
도원교통,6657,지선,양천공영차고지,가양동,6,6,0,0,4,2,19,90,11,5,54,15,22,0500,2300
김포교통,6712,지선,방화동,서강대학교,18,17,1,0,16,1,51,185,5,3,88,10,18,0430,2250
오케이버스,6714,지선,양천공영차고지,이대부고,11,10,1,0,8,2,34,122,9,4,76,14,20,0430,2300
중부운수,6715,지선,신월동,상암동,20,19,1,0,16,3,30,115,8,4,145,6,17,0500,2330
세풍운수,6716,지선,양천공영차고지,이대입구,30,29,1,0,29,0,47,180,6,3,162,6,10,0430,2220
유성운수,7011,지선,은평차고지,중구청,21,20,1,0,18,2,36,126,6,4,120,5,11,0430,2310
유성운수,7016,지선,은평차고지,상명대,34,32,2,0,29,3,50,165,5,3,154,4,10,0430,2230
보광교통,7017,지선,은평공영차고지,롯데백화점,23,22,1,0,21,1,37,156,6,3,132,7,10,0430,2300
서부운수,7018,지선,북가좌동,종로1가,18,17,1,0,14,3,26,100,9,4,131,6,15,0430,2300
현대교통,7019,지선,은평차고지,시청(서소문),23,22,1,0,20,2,39,145,6,3,126,6,12,0430,2240
보광교통,7021,지선,은평차고지,을지로입구,23,22,1,0,21,1,34,139,7,4,147,6,10,0430,2300
선진운수,7022,지선,구산동,서울역,21,19,2,0,17,2,31,124,8,4,139,4,11,0430,2310
원버스,7024,지선,봉원사,서울역,5,5,0,0,4,1,14,75,15,7,67,12,25,0530,2310
선진운수,7025,지선,은평차고지,종로6가,17,16,1,0,14,2,33,115,7,4,112,5,19,0430,2240
신성교통,7211,지선,진관공영차고지,신설동,5,4,1,0,4,0,49,160,6,3,23,7,10,0410,2300
제일여객,7211,지선,진관공영차고지,신설동,26,24,2,1,22,2,49,160,6,3,134,7,10,0410,2300
선진운수,7212,지선,은평차고지,극동그린아파트앞,28,26,2,0,23,3,59,210,4,2,98,5,16,0400,2150
현대교통,7611,지선,은평차고지,여의도,17,16,1,0,15,1,39,147,6,3,93,10,14,0415,2240
현대교통,7612,지선,홍연2교현대교통,영등포구청역,20,19,1,0,19,0,20,86,10,5,188,4,8,0433,2340
선진운수,7613,지선,갈현동,여의도,16,15,1,0,12,3,33,132,7,3,88,8,20,0430,2300
신촌교통,7711,지선,덕은동종점,홍대입구역,10,8,2,1,7,1,13,63,15,8,121,7,14,0430,2400
현대교통,7713,지선,홍연2교,홍연2교,12,11,1,0,10,1,23,109,8,4,84,12,16,0500,2330
현대교통,7714,지선,홍연2교현대교통종점,녹번역,6,5,1,1,5,0,17,76,12,6,72,14,20,0500,2340
선진운수,7715,지선,은평차고지,연신내역,13,12,1,0,12,0,27,95,10,5,115,7,12,0430,2330
서부운수,7719,지선,북가좌동,홍제동,3,3,0,0,3,0,13,55,15,7,45,20,30,0430,2320
선진운수,7720,지선,구산동,신촌,18,16,2,0,14,2,28,109,8,4,120,5,15,0430,2310
제일여객,7722,지선,진관공영차고지,녹번역,8,7,1,0,6,1,19,75,12,6,78,15,20,0430,2350
제일여객,7723,지선,진관공영차고지,"하나고,삼천사,진관사입구",8,7,1,1,6,1,17,55,17,8,118,8,14,0500,0000
신촌교통,7726,지선,덕은동종점,모래내삼거리,6,5,1,0,5,0,24,70,12,6,60,17,27,0500,2400
신촌교통,7727,지선,설문동,신촌,22,21,1,0,19,2,61,175,5,3,101,7,13,0430,2300
동해운수,7728,지선,대화동,신촌,26,23,3,0,21,2,67,230,4,2,92,6,18,0400,2200
보광교통,7730,지선,은평공영차고지,구기동,20,19,1,0,18,1,31,123,8,4,139,7,10,0430,2300
신성교통,7733,지선,은평뉴타운공영차고지,홍대입구역,4,3,1,0,2,1,50,160,6,3,15,18,25,0400,2300
제일여객,7733,지선,은평뉴타운공영차고지,홍대입구역,8,7,1,0,7,0,50,160,6,3,42,18,25,0400,2300
원버스,7737,지선,파크빌아파트,은평공영차고지,14,14,0,0,12,2,27,135,8,5,109,8,16,0505,2310
원버스,7738,지선,은평공영차고지,홍제역,13,13,0,0,11,2,19,85,11,6,132,7,10,0500,2320
원버스,7739,지선,은평공영차고지,서교가든,8,8,0,0,6,2,17,75,11,6,78,12,15,0500,2320
